Rat,Condition,FoodAmmt,Social,Food,Sharing,TimesShared,PelletsLeft
4,1,1,5,78,0,-1,-1
4,1,1,0,127,0,-1,-1
4,1,1,10,69,0,-1,-1
4,1,1,7,78,0,-1,-1
4,1,1,22,38,0,-1,-1
4,1,1,18,98,0,-1,-1
4,1,1,11,82,0,-1,-1
4,1,1,18,91,0,-1,-1
4,1,1,10,129,0,-1,-1
4,1,1,17,137,0,-1,-1
4,1,1,22,67,0,-1,-1
4,2,2,16,45,3,-1,-1
4,2,2,22,71,3,-1,-1
4,2,2,16,58,0,-1,-1
4,2,2,20,71,0,-1,-1
4,2,2,22,62,3,-1,-1
4,2,2,12,49,0,-1,-1
4,2,2,20,70,0,-1,-1
4,2,2,20,63,0,-1,-1
4,2,2,25,31,2,-1,-1
4,3,4,24,13,15,-1,-1
4,3,4,27,17,2,-1,-1
4,3,4,27,22,2,-1,-1
4,3,4,26,32,2,-1,-1
4,3,4,22,10,1,-1,-1
4,3,4,20,23,10,-1,-1
4,3,4,15,37,0,-1,-1
4,3,4,14,22,1,-1,-1
4,3,4,17,47,17,-1,-1
4,3,4,19,23,0,-1,-1
4,3,4,18,23,1,-1,-1
4,3,4,16,24,0,-1,-1
4,3,4,20,36,8,-1,-1
4,4,4,18,14,1,-1,-1
4,4,4,22,20,2,-1,-1
4,4,4,13,16,0,-1,-1
4,4,4,12,19,0,-1,-1
4,4,4,14,12,0,-1,-1
4,5,5,-1,16,-1,-1,5
4,5,5,-1,14,-1,-1,18
4,5,5,-1,16,-1,-1,12
4,5,5,-1,14,-1,-1,2
4,5,5,-1,15,-1,-1,12
4,6,5,12,10,0,-1,-1
4,6,5,14,10,2,-1,-1
4,6,5,8,13,5,-1,-1
4,6,5,14,8,4,-1,-1
4,6,5,12,16,0,-1,-1
4,6,5,9,17,1,-1,-1
4,7,5,9,10,0,0,1
4,7,5,7,19,0,0,3
4,7,5,11,15,0,0,3
4,7,5,9,15,0,0,17
4,7,5,15,11,0,0,0
4,7,5,7,12,0,0,4
6,1,1,2,49,0,-1,-1
6,1,1,12,65,0,-1,-1
6,1,1,8,142,0,-1,-1
6,1,1,11,102,0,-1,-1
6,1,1,8,109,0,-1,-1
6,1,1,14,80,0,-1,-1
6,1,1,12,129,0,-1,-1
6,1,1,13,151,0,-1,-1
6,1,1,8,113,0,-1,-1
6,1,1,8,199,0,-1,-1
6,1,1,17,159,0,-1,-1
6,2,2,9,94,0,-1,-1
6,2,2,11,111,1,-1,-1
6,2,2,20,68,13,-1,-1
6,2,2,12,131,0,-1,-1
6,2,2,11,119,0,-1,-1
6,2,2,12,84,0,-1,-1
6,2,2,8,99,0,-1,-1
6,2,2,14,79,0,-1,-1
6,2,2,8,102,0,-1,-1
6,3,4,16,27,3,-1,-1
6,3,4,14,28,0,-1,-1
6,3,4,16,38,0,-1,-1
6,3,4,12,60,0,-1,-1
6,3,4,20,11,2,-1,-1
6,3,4,17,31,0,-1,-1
6,3,4,14,34,1,-1,-1
6,3,4,15,53,0,-1,-1
6,3,4,21,34,4,-1,-1
6,4,4,20,11,4,-1,-1
6,4,4,20,19,0,-1,-1
6,4,4,24,14,0,-1,-1
6,4,4,23,20,0,-1,-1
6,4,4,24,19,3,-1,-1
6,5,5,-1,19,-1,-1,8
6,5,5,-1,22,-1,-1,9
6,5,5,-1,17,-1,-1,8
6,5,5,-1,16,-1,-1,8
6,5,5,-1,22,-1,-1,3
6,6,5,25,16,0,0,-1
6,6,5,8,18,7,3,-1
6,6,5,21,10,3,2,-1
6,6,5,12,10,4,2,-1
6,6,5,6,13,0,0,-1
6,6,5,11,17,0,0,-1
6,7,5,16,15,3,2,4
6,7,5,23,12,6,2,3
6,7,5,22,13,1,1,4
6,7,5,16,14,0,0,0
6,7,5,23,19,0,0,4
6,7,5,12,11,2,1,5
6,7,5,20,20,0,0,12
8,1,1,2,234,0,-1,-1
8,1,1,6,147,0,-1,-1
8,1,1,7,239,0,-1,-1
8,1,1,3,175,0,-1,-1
8,1,1,6,150,0,-1,-1
8,2,2,5,92,0,-1,-1
8,2,2,3,142,0,-1,-1
8,2,2,3,72,0,-1,-1
8,2,2,4,103,0,-1,-1
8,3,4,6,14,0,-1,-1
8,3,4,8,14,0,-1,-1
8,3,4,7,32,0,-1,-1
8,3,4,6,18,0,-1,-1
8,3,4,4,46,0,-1,-1
8,4,4,8,10,0,-1,-1
8,4,4,8,8,0,-1,-1
8,4,4,7,9,0,-1,-1
8,4,4,6,6,0,-1,-1
8,4,4,4,15,0,-1,-1
8,4,4,5,4,0,-1,-1
8,4,4,11,6,0,-1,-1
8,4,4,4,8,0,-1,-1
8,5,5,-1,19,-1,-1,2
8,5,5,-1,11,-1,-1,2
8,5,5,-1,18,-1,-1,0
8,5,5,-1,21,-1,-1,0
8,5,5,-1,18,-1,-1,1
8,6,5,13,10,0,0,-1
8,6,5,7,12,0,0,-1
8,6,5,7,13,0,0,-1
8,6,5,6,5,0,0,-1
8,6,5,4,12,0,0,-1
8,6,5,8,6,0,0,-1
8,7,5,3,10,0,0,0
8,7,5,2,14,0,0,0
8,7,5,7,13,0,0,0
8,7,5,5,10,0,0,0
8,7,5,7,13,0,0,2
